Temperature,Humidity,Pressure
32.3,29.0,1024.92
32.2,28.0,1024.94
32.28,29.0,1024.92

Temperature,Humidity,Pressure
32.24,28.0,1024.79
32.13,29.0,1024.79
32.17,29.0,1024.78
32.17,29.0,1024.77

Temperature,Humidity,Pressure
32.26,27.0,1024.56
32.35,27.0,1024.57
32.32,27.0,1024.6
32.2,28.0,1024.66
32.15,27.0,1024.64
32.3,27.0,1024.66
32.35,28.0,1024.66
32.33,27.0,1024.66
32.41,28.0,1024.66
32.39,27.0,1024.62
32.37,27.0,1024.65
32.32,27.0,1024.65
32.41,28.0,1024.63
32.37,27.0,1024.59
32.32,27.0,1024.63
32.37,27.0,1024.64
32.39,27.0,1024.59

